y, v, a, t
0.00018666666666666655,0.018666666666666654,1.8666666666666654,0.01
0.0005599999999999996,0.03733333333333331,1.8666666666666654,0.02
0.0011199999999999993,0.055999999999999966,1.8666666666666654,0.03
0.0018666666666666653,0.07466666666666662,1.8666666666666654,0.04
0.002799999999999998,0.09333333333333327,1.8666666666666654,0.05
0.003919999999999997,0.11199999999999992,1.8666666666666654,0.06
0.005226666666666663,0.13066666666666657,1.8666666666666654,0.07
0.006719999999999996,0.14933333333333323,1.8666666666666654,0.08
0.008399999999999994,0.1679999999999999,1.8666666666666654,0.09
0.01026666666666666,0.18666666666666656,1.8666666666666654,0.1
0.012319999999999992,0.20533333333333323,1.8666666666666654,0.11
0.014559999999999991,0.2239999999999999,1.8666666666666654,0.12
0.016986666666666657,0.24266666666666656,1.8666666666666654,0.13
0.01959999999999999,0.2613333333333332,1.8666666666666654,0.14
0.02239999999999999,0.27999999999999986,1.8666666666666654,0.15
0.025386666666666655,0.2986666666666665,1.8666666666666654,0.16
0.028559999999999988,0.3173333333333332,1.8666666666666654,0.17
0.03191999999999999,0.33599999999999985,1.8666666666666654,0.18
0.03546666666666665,0.3546666666666665,1.8666666666666654,0.19
0.039199999999999985,0.3733333333333332,1.8666666666666654,0.2
0.043119999999999985,0.39199999999999985,1.8666666666666654,0.21
0.04722666666666665,0.4106666666666665,1.8666666666666654,0.22
0.05151999999999998,0.4293333333333332,1.8666666666666654,0.23
0.05599999999999998,0.44799999999999984,1.8666666666666654,0.24
0.06066666666666665,0.4666666666666665,1.8666666666666654,0.25
0.06551999999999998,0.4853333333333332,1.8666666666666654,0.26
0.07055999999999998,0.5039999999999998,1.8666666666666654,0.27
0.07578666666666664,0.5226666666666664,1.8666666666666654,0.28
0.08119999999999997,0.541333333333333,1.8666666666666654,0.29
0.08679999999999996,0.5599999999999996,1.8666666666666654,0.3
0.09258666666666662,0.5786666666666662,1.8666666666666654,0.31
0.09855999999999995,0.5973333333333328,1.8666666666666654,0.32
0.10471999999999995,0.6159999999999994,1.8666666666666654,0.33
0.11106666666666662,0.634666666666666,1.8666666666666654,0.34
0.11759999999999994,0.6533333333333327,1.8666666666666654,0.35000000000000003
0.12431999999999993,0.6719999999999993,1.8666666666666654,0.36
0.1312266666666666,0.6906666666666659,1.8666666666666654,0.37
0.13831999999999992,0.7093333333333325,1.8666666666666654,0.38
0.1455999999999999,0.7279999999999991,1.8666666666666654,0.39
0.15306666666666655,0.7466666666666657,1.8666666666666654,0.4
0.16071999999999986,0.7653333333333323,1.8666666666666654,0.41000000000000003
0.16855999999999985,0.7839999999999989,1.8666666666666654,0.42
0.1765866666666665,0.8026666666666655,1.8666666666666654,0.43
0.18479999999999983,0.8213333333333321,1.8666666666666654,0.44
0.19319999999999982,0.8399999999999987,1.8666666666666654,0.45
0.20178666666666648,0.8586666666666654,1.8666666666666654,0.46
0.2105599999999998,0.877333333333332,1.8666666666666654,0.47000000000000003
0.2195199999999998,0.8959999999999986,1.8666666666666654,0.48
0.22866666666666646,0.9146666666666652,1.8666666666666654,0.49
0.23799999999999977,0.9333333333333318,1.8666666666666654,0.5
0.24751999999999974,0.9519999999999984,1.8666666666666654,0.51
0.2572266666666664,0.970666666666665,1.8666666666666654,0.52
0.2671199999999997,0.9893333333333316,1.8666666666666654,0.53
0.27719999999999967,1.0079999999999982,1.8666666666666654,0.54
0.2874666666666663,1.0266666666666648,1.8666666666666654,0.55
0.29791999999999963,1.0453333333333314,1.8666666666666654,0.56
0.3085599999999996,1.063999999999998,1.8666666666666654,0.5700000000000001
0.31938666666666626,1.0826666666666647,1.8666666666666654,0.58
0.3303999999999996,1.1013333333333313,1.8666666666666654,0.59
0.34159999999999957,1.1199999999999979,1.8666666666666654,0.6
0.3529866666666662,1.1386666666666645,1.8666666666666654,0.61
0.36455999999999955,1.157333333333331,1.8666666666666654,0.62
0.37631999999999954,1.1759999999999977,1.8666666666666654,0.63
0.3882666666666662,1.1946666666666643,1.8666666666666654,0.64
0.40039999999999953,1.213333333333331,1.8666666666666654,0.65
0.41271999999999953,1.2319999999999975,1.8666666666666654,0.66
0.4252266666666662,1.2506666666666642,1.8666666666666654,0.67
0.43791999999999953,1.2693333333333308,1.8666666666666654,0.68
0.45079999999999953,1.2879999999999974,1.8666666666666654,0.6900000000000001
0.46386666666666615,1.306666666666664,1.8666666666666654,0.7000000000000001
0.47711999999999943,1.3253333333333306,1.8666666666666654,0.71
0.4905599999999994,1.3439999999999972,1.8666666666666654,0.72
0.504186666666666,1.3626666666666638,1.8666666666666654,0.73
0.5179999999999993,1.3813333333333304,1.8666666666666654,0.74
0.5319999999999994,1.399999999999997,1.8666666666666654,0.75
0.546186666666666,1.4186666666666636,1.8666666666666654,0.76
0.5605599999999994,1.4373333333333302,1.8666666666666654,0.77
0.5751199999999994,1.4559999999999969,1.8666666666666654,0.78
0.5898666666666661,1.4746666666666635,1.8666666666666654,0.79
0.6047999999999994,1.49333333333333,1.8666666666666654,0.8
0.6199199999999994,1.5119999999999967,1.8666666666666654,0.81
0.6352266666666659,1.5306666666666633,1.8666666666666654,0.8200000000000001
0.6507199999999992,1.54933333333333,1.8666666666666654,0.8300000000000001
0.6663999999999991,1.5679999999999965,1.8666666666666654,0.84
0.6822666666666657,1.5866666666666631,1.8666666666666654,0.85
0.6983199999999989,1.6053333333333297,1.8666666666666654,0.86
0.7145599999999989,1.6239999999999963,1.8666666666666654,0.87
0.7309866666666655,1.642666666666663,1.8666666666666654,0.88
0.7475999999999987,1.6613333333333296,1.8666666666666654,0.89
